"2018-03-01 6472
2018-04-01, 6459
2018-05-01, 6196
2018-06-01, 64a7,
2018-07-01, 6195
2018-08-01, 6156
2018-09-01, 6073
2018-10-01, 6211
2018-11-01, 6115
2018-12-01, 6389
2019-01-01, 6439
2019-02-01, 6115
2019-03-01, 6182
2019-04-01, 5911
2019-05-01, 5941
2019-06-01, 5909
2019-07-01, 6008
2019-08-01, 5981
2019-09-01, 5775
2019-10-01, 5957
2019-11-01, 5911
2019-12-01, 5870
2020-01-01, 5804
2020-02-01, 5708
2020-03-01, T7184
2020-04-01, 23050
2020-05-01, 20939
2020-06-01, 17624
2020-07-01, 116324
2020-08-01, 13521,
2020-09-01, 12599)
2020-10-01, 11090)
2020-11-01, 10760"
