"2000-10-01 5534
2000-11-01, 5639
2000-12-01, 5634
2001-01-01, 6023
2001-02-01, 6089
2001-03-01, 6141
2001-04-01, 6271
2001-05-01, 6226
2001-06-01, 6484
2001-07-01, 6583
2001-08-01, 7042,
2001-09-01, 7142
2001-10-01, 7694
2001-11-01, 8003
2001-12-01, 8258
2002-01-01, 8182
2002-02-01, 8215
2002-03-01, 8304
2002-04-01, ‘8599
2002-05-01, 8399
2002-06-01, 8393
2002-07-01, 8390
2002-08-01, 8304
2002-09-01, 8251
2002-10-01, 8307
2002-11-01, 8520
2002-12-01, 8640
2003-01-01, 8520
2003-02-01, 8618
2003-03-01, 8588
2003-04-01, 3842
2003-05-01, 8957
2003-06-01 9266"
